country_iso,region,sub_region,groups,country_emoji,country_name,country_url
TKM,east-asia-pacific,southeast-asia,,🇹🇲,Turkmenistan,turkmenistan-capability-ratings
TLS,east-asia-pacific,southeast-asia,,🇹🇱,Timor-Leste,timor-leste-capability-ratings
TON,east-asia-pacific,southeast-asia,,🇹🇴,Tonga,tonga-capability-ratings
TTO,east-asia-pacific,southeast-asia,,🇹🇹,Trinidad and Tobago,trinidad-and-tobago-capability-ratings
TUN,east-asia-pacific,southeast-asia,,🇹🇳,Tunisia,tunisia-capability-ratings
TUR,east-asia-pacific,southeast-asia,,🇹🇷,Turkey,turkey-capability-ratings
TUV,east-asia-pacific,southeast-asia,,🇹🇻,Tuvalu,tuvalu-capability-ratings
TWN,east-asia-pacific,southeast-asia,,🇹🇼,"Taiwan, Province of China",taiwan-province-of-china-capability-ratings
TZA,east-asia-pacific,southeast-asia,,🇹🇿,"Tanzania, United Republic of",tanzania-united-republic-of-capability-ratings
UGA,east-asia-pacific,southeast-asia,,🇺🇬,Uganda,uganda-capability-ratings
UKR,east-asia-pacific,southeast-asia,,🇺🇦,Ukraine,ukraine-capability-ratings
UMI,east-asia-pacific,southeast-asia,,🇺🇲,United States Minor Outlying Islands,united-states-minor-outlying-islands-capability-ratings
URY,east-asia-pacific,southeast-asia,,🇺🇾,Uruguay,uruguay-capability-ratings
USA,east-asia-pacific,southeast-asia,g20,🇺🇸,United States,united-states-capability-ratings
UZB,east-asia-pacific,southeast-asia,,🇺🇿,Uzbekistan,uzbekistan-capability-ratings
VAT,east-asia-pacific,southeast-asia,,🇻🇦,Holy See (Vatican City State),holy-see-vatican-city-state-capability-ratings
VCT,east-asia-pacific,southeast-asia,,🇻🇨,Saint Vincent and the Grenadines,saint-vincent-and-the-grenadines-capability-ratings
VEN,east-asia-pacific,southeast-asia,,🇻🇪,"Venezuela, Bolivarian Republic of",venezuela-bolivarian-republic-of-capability-ratings
VGB,east-asia-pacific,southeast-asia,,🇻🇬,"Virgin Islands, British",virgin-islands-british-capability-ratings
VIR,east-asia-pacific,southeast-asia,,🇻🇮,"Virgin Islands, U.S.",virgin-islands-us-capability-ratings
VNM,east-asia-pacific,southeast-asia,,🇻🇳,Viet Nam,viet-nam-capability-ratings
VUT,east-asia-pacific,southeast-asia,,🇻🇺,Vanuatu,vanuatu-capability-ratings
WLF,east-asia-pacific,southeast-asia,,🇼🇫,Wallis and Futuna,wallis-and-futuna-capability-ratings
WSM,east-asia-pacific,southeast-asia,,🇼🇸,Samoa,samoa-capability-ratings
YEM,east-asia-pacific,southeast-asia,,🇾🇪,Yemen,yemen-capability-ratings
ZAF,east-asia-pacific,southeast-asia,,🇿🇦,South Africa,south-africa-capability-ratings
ZMB,east-asia-pacific,southeast-asia,,🇿🇲,Zambia,zambia-capability-ratings
ZWE,east-asia-pacific,southeast-asia,,🇿🇼,Zimbabwe,zimbabwe-capability-ratings
